open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1756857600000,111187.90,111238.80,111173.20,111173.40,147.752,1756857659999,16431033.06490,2824,89.321,9933052.71040,0
1756857660000,111173.40,111255.00,111173.40,111255.00,90.376,1756857719999,10051448.76780,2130,82.162,9137937.39560,0
1756857720000,111255.00,111318.00,111254.90,111290.70,157.853,1756857779999,17568276.11070,2959,127.644,14206137.43630,0
1756857780000,111290.70,111290.70,111231.40,111259.40,123.386,1756857839999,13727743.44600,2001,31.492,3503561.65900,0
1756857840000,111259.30,111278.10,111235.20,111258.80,38.719,1756857899999,4307495.39280,1472,28.799,3203870.94810,0
1756857900000,111258.70,111338.50,111254.10,111281.90,97.550,1756857959999,10858691.57980,2458,49.603,5521415.08460,0
1756857960000,111282.00,111321.40,111281.80,111281.80,68.912,1756858019999,7670418.85730,1654,27.037,3009233.89300,0
1756858020000,111281.90,111338.90,111281.80,111338.90,29.397,1756858079999,3271914.73090,1162,20.867,2322535.31960,0
1756858080000,111338.80,111360.20,111334.50,111360.10,45.016,1756858139999,5012367.86410,1296,37.114,4132525.51730,0
1756858140000,111360.10,111385.00,111349.80,111385.00,143.341,1756858199999,15963798.71800,2271,76.801,8552926.40980,0
1756858200000,111384.90,111436.10,111380.70,111428.30,100.647,1756858259999,11212666.85400,2257,55.871,6224184.37890,0
1756858260000,111428.30,111475.70,111428.20,111439.50,149.180,1756858319999,16626422.59060,2594,79.588,8870008.11810,0
1756858320000,111439.50,111439.50,111366.70,111383.00,87.220,1756858379999,9716128.12010,2665,35.303,3932600.68710,0
1756858380000,111383.10,111469.20,111367.40,111469.10,107.830,1756858439999,12014657.83660,2281,84.180,9379845.02750,0
1756858440000,111469.20,111499.00,111469.10,111476.10,94.174,1756858499999,10499288.30320,1994,46.487,5182623.08340,0
1756858500000,111476.10,111476.20,111428.20,111428.30,32.432,1756858559999,3614594.86060,1475,9.919,1105534.65170,0
1756858560000,111428.30,111528.20,111428.20,111477.80,156.042,1756858619999,17397734.53950,3903,116.342,12971327.54230,0
1756858620000,111477.80,111482.30,111404.90,111465.30,80.604,1756858679999,8983299.01670,2632,39.978,4455413.65060,0
1756858680000,111465.30,111492.00,111453.50,111453.50,60.424,1756858739999,6735486.94950,1383,17.240,1921839.98480,0
1756858740000,111453.60,111508.60,111453.00,111508.50,37.819,1756858799999,4216290.51860,1268,27.777,3096693.24470,0
1756858800000,111508.60,111514.60,111471.80,111514.50,59.651,1756858859999,6650894.41930,1705,33.294,3712188.98890,0
1756858860000,111514.50,111514.60,111467.80,111501.20,43.978,1756858919999,4903134.54810,1499,16.158,1801376.17300,0
1756858920000,111501.20,111513.50,111495.30,111495.30,24.821,1756858979999,2767676.63190,1031,10.958,1221884.40170,0
1756858980000,111495.20,111506.20,111462.10,111506.10,34.204,1756859039999,3813321.92400,1309,18.131,2021445.19190,0
1756859040000,111506.20,111514.60,111493.30,111504.10,31.796,1756859099999,3545467.32940,1025,13.143,1465505.19220,0
1756859100000,111504.10,111566.00,111504.10,111527.40,159.560,1756859159999,17798163.34540,2480,121.786,13584347.66240,0
1756859160000,111527.40,111710.60,111527.30,111705.80,555.518,1756859219999,62007077.14910,7297,470.153,52475696.90230,0
1756859220000,111705.80,111732.90,111648.80,111689.90,165.108,1756859279999,18440800.85230,4898,73.972,8262022.91800,0
1756859280000,111689.80,111689.80,111612.80,111622.50,97.992,1756859339999,10942024.02860,2576,24.866,2776379.37670,0
1756859340000,111623.00,111650.00,111580.00,111587.30,45.118,1756859399999,5036028.71690,1818,12.269,1369468.62050,0
1756859400000,111587.20,111598.00,111493.20,111493.30,147.109,1756859459999,16410776.51370,4215,21.601,2409904.31190,0
1756859460000,111493.30,111493.30,111426.90,111426.90,154.923,1756859519999,17266702.81490,3149,25.537,2846146.65070,0
1756859520000,111427.00,111445.40,111373.40,111445.40,97.532,1756859579999,10864783.88350,2923,35.146,3914873.34100,0
1756859580000,111445.40,111445.40,111386.00,111411.70,71.711,1756859639999,7988954.05580,2188,29.113,3243156.13280,0
1756859640000,111411.70,111422.40,111388.70,111388.80,34.296,1756859699999,3820824.51000,1543,16.445,1832079.21320,0
1756859700000,111388.80,111467.10,111388.70,111449.90,48.029,1756859759999,5352285.11470,1936,28.187,3141069.14150,0
